Player,BPM
LeBron James,9.18
Michael Jordan*,8.09
Chris Paul,7.54
Charles Barkley*,7.44
David Robinson*,7.35
Magic Johnson*,7.22
Larry Bird*,7.17
Russell Westbrook,6.65
James Harden,6.53
Stephen Curry,6.50
Clyde Drexler*,5.98
Kareem Abdul-Jabbar*,5.77
Tim Duncan,5.47
Karl Malone*,5.40
Kevin Garnett,5.39
Julius Erving*,5.14
Kevin Durant,5.14
Andrei Kirilenko,5.02
Shaquille O'Neal*,5.00
Bob Lanier*,4.96
Manu Ginobili,4.95
Hakeem Olajuwon*,4.91
Dwyane Wade,4.76
Scottie Pippen*,4.71
Tracy McGrady*,4.55
Wes Unseld*,4.35
Bobby Jones,4.30
Jason Kidd,4.19
Larry Nance,4.18
Joakim Noah,4.17
Jimmy Butler,4.11
Alvin Robertson,4.00
Blake Griffin,3.97
Chris Webber,3.91
Kyle Lowry,3.89
Kobe Bryant,3.88
Ben Wallace,3.87
Sidney Moncrief,3.80
Alvan Adams,3.72
Damian Lillard,3.71
Marques Johnson,3.63
Fat Lever,3.60
Paul George,3.55
Pau Gasol,3.53
Micheal Ray Richardson,3.52
Marc Gasol,3.48
John Stockton*,3.46
Eddie Jones,3.46
Bo Outlaw,3.43
Paul Pierce,3.32
Vlade Divac,3.31
Gary Payton*,3.30
Artis Gilmore*,3.28
Paul Millsap,3.27
Reggie Miller*,3.27
Dirk Nowitzki,3.26
Dave Cowens*,3.22
Rick Barry*,3.21
Steve Francis,3.18
Shawn Marion,3.16
Elton Brand,3.13
Al Horford,3.10
Adrian Dantley*,3.09
Doc Rivers,3.09
Jeff Hornacek,3.04
Dennis Rodman*,3.01
Sam Lacey,3.01
Nate McMillan,2.98
Ray Allen,2.97
Mookie Blaylock,2.96
Gilbert Arenas,2.93
Vince Carter,2.93
Marcus Camby,2.92
Andre Iguodala,2.91
DeMarcus Cousins,2.91
Shane Battier,2.90
Grant Hill,2.85
Kevin Love,2.82
Cedric Maxwell,2.79
George McGinnis*,2.77
Chris Mullin*,2.77
Baron Davis,2.73
Robert Horry,2.68
Dan Majerle,2.67
Allen Iverson*,2.65
Amir Johnson,2.61
Brent Barry,2.56
Brad Daugherty,2.56
Horace Grant,2.56
Anfernee Hardaway,2.56
Nicolas Batum,2.55
Chauncey Billups,2.51
Jack Sikma,2.50
Lamar Odom,2.48
Tim Hardaway,2.47
Kevin McHale*,2.45
Dwight Howard,2.43
Rich Kelley,2.43
Paul Pressey,2.42
Hersey Hawkins,2.42
Kevin Johnson,2.42
John Wall,2.41
Toni Kukoc,2.40
Gerald Wallace,2.38
Dan Roundfield,2.38
Larry Johnson,2.37
Terrell Brandon,2.37
Dominique Wilkins*,2.34
Andrew Bogut,2.34
Kemba Walker,2.33
Yao Ming*,2.26
Isiah Thomas*,2.18
Mark Price,2.18
DeAndre Jordan,2.16
Darrell Armstrong,2.14
Detlef Schrempf,2.13
Brad Miller,2.12
Dikembe Mutombo*,2.12
Anthony Mason,2.11
Rasheed Wallace,2.10
Josh Smith,2.10
Bob McAdoo*,2.07
Ron Harper,2.06
Greg Monroe,2.05
Terry Porter,2.03
Rashard Lewis,2.03
Bill Laimbeer,2.02
Gordon Hayward,2.01
Tree Rollins,2.00
Patrick Ewing*,2.00
Derrick McKey,1.98
Kerry Kittles,1.94
Gus Williams,1.93
Dan Issel*,1.91
Nene Hilario,1.90
Doug Christie,1.87
Maurice Cheeks,1.86
George Hill,1.85
Bob Dandridge,1.84
Dale Davis,1.83
Clifford Ray,1.82
Mike Conley,1.82
Moses Malone*,1.81
Hot Rod Williams,1.79
Steve Mix,1.78
Metta World Peace,1.77
James Worthy*,1.76
Jerome Kersey,1.75
John Salley,1.75
Nick Anderson,1.74
Ray Williams,1.74
Alex English*,1.71
Bernard King*,1.71
Bryon Russell,1.69
Shawn Kemp,1.69
Alonzo Mourning*,1.66
Rodney McCray,1.65
Rod Strickland,1.64
David Lee,1.64
Trevor Ariza,1.62
Robert Parish*,1.59
Rajon Rondo,1.59
Christian Laettner,1.57
Danny Manning,1.55
Tyson Chandler,1.53
Chris Morris,1.53
Mark Eaton,1.52
Peja Stojakovic,1.52
Anderson Varejao,1.51
David West,1.50
Michael Adams,1.49
Greg Ballard,1.48
Charles Oakley,1.48
Paul Westphal,1.47
George Gervin*,1.47
Mickey Johnson,1.47
Danny Granger,1.45
Chris Bosh,1.41
Kurt Rambis,1.40
Sam Perkins,1.40
LaMarcus Aldridge,1.40
Sam Cassell,1.38
Mehmet Okur,1.38
Cliff Levingston,1.36
P.J. Brown,1.36
Steve Smith,1.36
Derrick Coleman,1.32
Jason Richardson,1.30
Danny Ainge,1.28
Deron Williams,1.27
Jeff Foster,1.26
Steve Nash,1.26
Mark Aguirre,1.25
Carlos Boozer,1.25
Buck Williams,1.25
Goran Dragic,1.23
James Posey,1.21
Jason Terry,1.21
John Drew,1.21
Otis Thorpe,1.21
Stephon Marbury,1.18
Hedo Turkoglu,1.18
Calvin Natt,1.17
Derek Harper,1.17
Jared Dudley,1.17
T.R. Dunn,1.17
Wesley Matthews,1.16
Craig Ehlo,1.16
Tom Gugliotta,1.15
Lonnie Shelton,1.14
Andre Miller,1.12
Jrue Holiday,1.12
George Johnson,1.11
Thabo Sefolosha,1.11
Tyreke Evans,1.10
David Thompson*,1.09
Michael Finley,1.05
Michael Cooper,1.04
Donyell Marshall,1.04
Fred Brown,1.03
Darrell Walker,1.03
Larry Kenon,1.02
Matt Barnes,1.01
Tony Allen,1.00
Carmelo Anthony,.96
Steve Hawes,.96
Rick Fox,.95
Michael Redd,.95
Derek Anderson,.93
Michael Cage,.93
Ruben Patterson,.92
Theo Ratliff,.92
Luol Deng,.92
Mario Elie,.91
Terry Cummings,.90
Shareef Abdur-Rahim,.90
Mike Miller,.90
Randy Smith,.90
Mitch Richmond*,.88
Kyle Korver,.88
Elvin Hayes*,.87
Kent Benson,.86
Brook Lopez,.85
Pete Maravich*,.83
Tony Parker,.82
Ed Pinckney,.82
Marcin Gortat,.79
Foots Walker,.77
Jim Brewer,.77
Kenny Anderson,.77
Antawn Jamison,-.20
Bob Pettit*,0
Clifford Robinson,.70
Dale Ellis,.30
Eddie Johnson,-0.90
Elgin Baylor*,0
Hal Greer*,0
Jamal Crawford,-0.9
Jerry West*,0
Joe Johnson,0.4
John Havlicek*,0
Mike Bibby,0.5
Oscar Robertson*,0
Rudy Gay,0.5
Tom Chambers,-0.5
Walt Bellamy*,0
Walter Davis,0.6
Wilt Chamberlain*,0
